experiment,model,task,metric,K,score,baseline_K0,retention_pct
humaneval,Qwen/Qwen2.5-Coder-14B-Instruct,humaneval,pass@1,0,0.8902,0.8902,100.0
humaneval,Qwen/Qwen2.5-Coder-14B-Instruct,humaneval,pass@1,2,0.8415,0.8902,94.5
humaneval,Qwen/Qwen2.5-Coder-14B-Instruct,humaneval,pass@1,3,0.872,0.8902,97.9
humaneval,Qwen/Qwen2.5-Coder-14B-Instruct,humaneval,pass@1,4,0.8902,0.8902,100.0
humaneval,Qwen/Qwen2.5-Coder-7B-Instruct,humaneval,pass@1,0,0.8049,0.8049,100.0
humaneval,Qwen/Qwen2.5-Coder-7B-Instruct,humaneval,pass@1,2,0.6585,0.8049,81.8
humaneval,Qwen/Qwen2.5-Coder-7B-Instruct,humaneval,pass@1,3,0.7988,0.8049,99.2
humaneval,Qwen/Qwen2.5-Coder-7B-Instruct,humaneval,pass@1,4,0.8049,0.8049,100.0
ifeval_subset,Qwen/Qwen2.5-7B-Instruct,ifeval,prompt_strict,0,0.7346,0.7346,100.0
ifeval_subset,Qwen/Qwen2.5-7B-Instruct,ifeval,prompt_strict,2,0.4692,0.7346,63.9
ifeval_subset,Qwen/Qwen2.5-7B-Instruct,ifeval,prompt_strict,3,0.7308,0.7346,99.5
ifeval_subset,Qwen/Qwen2.5-Coder-7B-Instruct,ifeval,prompt_strict,0,0.5846,0.5846,100.0
ifeval_subset,Qwen/Qwen2.5-Coder-7B-Instruct,ifeval,prompt_strict,2,0.5,0.5846,85.5
ifeval_subset,Qwen/Qwen2.5-Coder-7B-Instruct,ifeval,prompt_strict,3,0.5654,0.5846,96.7
lmeval_official,Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,acc_norm,0,0.4616,0.4616,100.0
lmeval_official,Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,acc_norm,2,0.3532,0.4616,76.5
lmeval_official,Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,acc_norm,3,0.4462,0.4616,96.7
